treeid,female,male,prov,block,plot,height,diameter,volume
191_4_158_3,191,0,10,4,158,11.2,18,0.1089
191_4_158_4,191,0,10,4,158,12.4,22.5,0.1883
191_4_158_5,191,0,10,4,158,10.4,15.2,0.0721
191_4_158_6,191,0,10,4,158,11.8,18.4,0.1199
253_4_171_2,253,0,13,4,171,7.4,12.3,0.0336
253_4_171_3,253,0,13,4,171,12.1,27.3,0.2705
253_4_171_5,253,0,13,4,171,7.5,10.8,0.0262
232_4_172_1,232,0,13,4,172,8.5,13.8,0.0486
232_4_172_2,232,0,13,4,172,8.7,14.9,0.0579
232_4_172_3,232,0,13,4,172,8.7,12.6,0.0414
232_4_172_4,232,0,13,4,172,12.1,22.5,0.1838
232_4_172_5,232,0,13,4,172,8.9,16.3,0.0709
239_4_173_1,239,0,13,4,173,10.9,22.2,0.1612
239_4_173_3,239,0,13,4,173,11.4,19.5,0.13
239_4_173_4,239,0,13,4,173,10.6,20,0.1272
239_4_173_5,239,0,13,4,173,8.5,13.2,0.0444
239_4_173_6,239,0,13,4,173,11.7,25.4,0.2265
238_4_174_1,238,0,13,4,174,12.8,19.4,0.1445
238_4_174_2,238,0,13,4,174,11.4,16.4,0.092
238_4_174_5,238,0,13,4,174,9.3,17.4,0.0845
238_4_174_6,238,0,13,4,174,10.6,16.4,0.0855
245_4_175_1,245,0,13,4,175,12.9,23.6,0.2155
245_4_175_2,245,0,13,4,175,6.7,8.4,0.0142
245_4_175_3,245,0,13,4,175,12.6,26,0.2555
245_4_175_4,245,0,13,4,175,10,13.3,0.0531
245_4_175_5,245,0,13,4,175,7.7,11.8,0.0322
245_4_175_6,245,0,13,4,175,9.6,15.5,0.0692
231_4_176_1,231,0,13,4,176,10.4,13.5,0.0569
231_4_176_2,231,0,13,4,176,11.7,19.8,0.1376
231_4_176_3,231,0,13,4,176,9.9,16.8,0.0838
231_4_176_4,231,0,13,4,176,10.7,18.5,0.1099
231_4_176_5,231,0,13,4,176,9.8,18.5,0.1006
252_4_177_1,252,0,13,4,177,10.5,20.9,0.1376
252_4_177_2,252,0,13,4,177,10.3,19.8,0.1211
252_4_177_3,252,0,13,4,177,9.7,16,0.0745
252_4_177_5,252,0,13,4,177,10,16.1,0.0778
252_4_177_6,252,0,13,4,177,9.9,20.3,0.1224
247_4_178_2,247,0,13,4,178,9,14.8,0.0591
247_4_178_3,247,0,13,4,178,10.2,20.2,0.1249
247_4_178_4,247,0,13,4,178,8.9,16.8,0.0754
247_4_178_5,247,0,13,4,178,6,9.6,0.0166
247_4_178_6,247,0,13,4,178,6.4,10.5,0.0212
233_4_179_2,233,0,13,4,179,10.4,16.9,0.0891
233_4_179_3,233,0,13,4,179,9.2,15,0.0621
233_4_179_4,233,0,13,4,179,7.3,11.8,0.0305
233_4_179_5,233,0,13,4,179,9.6,17.9,0.0923
233_4_179_6,233,0,13,4,179,8,12.8,0.0393
251_4_180_1,251,0,13,4,180,11.7,19.7,0.1362
251_4_180_2,251,0,13,4,180,10.5,14.1,0.0626
251_4_180_3,251,0,13,4,180,9.3,14.2,0.0563
251_4_180_4,251,0,13,4,180,8.7,11.7,0.0357
251_4_180_5,251,0,13,4,180,8.8,13.7,0.0496
251_4_180_6,251,0,13,4,180,10.7,19,0.1159
213_4_181_1,213,0,12,4,181,12.3,16.4,0.0992
213_4_181_2,213,0,12,4,181,10,13.9,0.058
213_4_181_3,213,0,12,4,181,15.2,25.5,0.2965
213_4_181_4,213,0,12,4,181,9.2,15.5,0.0663
213_4_181_5,213,0,12,4,181,12.4,22.2,0.1833
216_4_182_1,216,0,12,4,182,11.3,22.3,0.1686
216_4_182_2,216,0,12,4,182,8.5,11.4,0.0331
216_4_182_3,216,0,12,4,182,9.3,13.3,0.0494
216_4_182_4,216,0,12,4,182,11.7,19.3,0.1307
216_4_182_5,216,0,12,4,182,9.4,17.4,0.0854
216_4_182_6,216,0,12,4,182,8.9,15,0.0601
218_4_183_1,218,0,12,4,183,12.4,18.2,0.1232
218_4_183_2,218,0,12,4,183,12.4,19.6,0.1429
218_4_183_3,218,0,12,4,183,12,21.9,0.1727
218_4_183_4,218,0,12,4,183,8.1,10.3,0.0258
218_4_183_5,218,0,12,4,183,9,15.1,0.0616
218_4_183_6,218,0,12,4,183,9.7,17.3,0.0871
225_4_184_1,225,0,12,4,184,9.4,10.4,0.0305
225_4_184_2,225,0,12,4,184,10.4,13.5,0.0569
225_4_184_3,225,0,12,4,184,8.3,12.5,0.0389
225_4_184_4,225,0,12,4,184,10.7,18,0.104
225_4_184_5,225,0,12,4,184,10.4,18.4,0.1056
225_4_184_6,225,0,12,4,184,9.1,17.2,0.0808
226_4_185_1,226,0,12,4,185,12.7,19.9,0.1509
226_4_185_2,226,0,12,4,185,12.7,23.5,0.2104
226_4_185_4,226,0,12,4,185,11.8,21.5,0.1636
226_4_185_5,226,0,12,4,185,9.2,12.1,0.0404
211_4_186_2,211,0,12,4,186,8.8,12.5,0.0413
211_4_186_3,211,0,12,4,186,8.8,18.7,0.0923
211_4_186_4,211,0,12,4,186,9.6,15.3,0.0674
211_4_186_5,211,0,12,4,186,9.2,14.5,0.058
211_4_186_6,211,0,12,4,186,12.4,26.8,0.2672
217_4_187_2,217,0,12,4,187,13,21.5,0.1803
217_4_187_3,217,0,12,4,187,9.5,17,0.0824
217_4_187_4,217,0,12,4,187,10.8,18,0.105
217_4_187_5,217,0,12,4,187,11.4,17.5,0.1047
217_4_187_6,217,0,12,4,187,10.8,18.4,0.1097
210_4_188_1,210,0,12,4,188,12.9,22.3,0.1925
210_4_188_2,210,0,12,4,188,10.5,20,0.126
210_4_188_3,210,0,12,4,188,11.6,21.3,0.1579
210_4_188_4,210,0,12,4,188,8.9,15,0.0601
210_4_188_6,210,0,12,4,188,11,21.5,0.1525
227_4_189_3,227,0,12,4,189,12.4,14.1,0.074
227_4_189_4,227,0,12,4,189,11.7,23.5,0.1938
227_4_189_5,227,0,12,4,189,10.5,21.8,0.1497
227_4_189_6,227,0,12,4,189,11,21.4,0.1511
224_4_190_2,224,0,12,4,190,10.8,22,0.1568
224_4_190_3,224,0,12,4,190,9.4,14.7,0.0609
224_4_190_4,224,0,12,4,190,11,21.1,0.1469
224_4_190_5,224,0,12,4,190,8.5,17,0.0737
224_4_190_6,224,0,12,4,190,7.6,13,0.0385
219_4_191_2,219,0,12,4,191,11.9,20.9,0.1559
219_4_191_3,219,0,12,4,191,12,22.3,0.179
219_4_191_4,219,0,12,4,191,12,22,0.1742
219_4_191_5,219,0,12,4,191,9.8,15.3,0.0688
219_4_191_6,219,0,12,4,191,10.3,16.2,0.0811
212_4_192_2,212,0,12,4,192,11.5,18,0.1118
212_4_192_3,212,0,12,4,192,10.4,16.7,0.087
212_4_192_4,212,0,12,4,192,11.7,22.2,0.173
212_4_192_5,212,0,12,4,192,9,15.6,0.0657
212_4_192_6,212,0,12,4,192,9.7,16.5,0.0792
191_5_193_1,191,0,10,5,193,11.7,20.5,0.1475
191_5_193_2,191,0,10,5,193,11.3,22.1,0.1656
191_5_193_3,191,0,10,5,193,11.4,19.9,0.1354
191_5_193_5,191,0,10,5,193,10.3,22.3,0.1537
191_5_193_6,191,0,10,5,193,10.5,20.4,0.1311
192_5_194_1,192,0,10,5,194,12,13.4,0.0646
192_5_194_2,192,0,10,5,194,7.3,12.3,0.0331
192_5_194_3,192,0,10,5,194,12.7,22.9,0.1998
192_5_194_4,192,0,10,5,194,9.5,11.4,0.037
192_5_194_5,192,0,10,5,194,12.1,27.1,0.2666
170_5_195_1,170,0,10,5,195,10.9,20.3,0.1348
170_5_195_3,170,0,10,5,195,12.1,23.8,0.2056
170_5_195_4,170,0,10,5,195,10.4,18.5,0.1068
170_5_195_6,170,0,10,5,195,11.2,27.1,0.2468
231_5_196_3,231,0,13,5,196,11.6,21.8,0.1654
231_5_196_4,231,0,13,5,196,11.9,20.3,0.1471
231_5_196_6,231,0,13,5,196,9.6,11.8,0.0401
251_5_197_2,251,0,13,5,197,12.4,27.1,0.2732
251_5_197_3,251,0,13,5,197,11.3,24.7,0.2068
251_5_197_4,251,0,13,5,197,11.4,22.3,0.1701
251_5_197_5,251,0,13,5,197,14,26.3,0.2905
251_5_197_6,251,0,13,5,197,11.8,19.5,0.1346
238_5_198_1,238,0,13,5,198,10.4,18.5,0.1068
238_5_198_2,238,0,13,5,198,10.2,15.7,0.0754
238_5_198_3,238,0,13,5,198,11.3,19.5,0.1289
238_5_198_4,238,0,13,5,198,12.2,19.7,0.142
238_5_198_5,238,0,13,5,198,9.6,14.7,0.0622
238_5_198_6,238,0,13,5,198,10.8,20.3,0.1335
245_5_199_1,245,0,13,5,199,11.7,19.3,0.1307
245_5_199_2,245,0,13,5,199,12.5,25.8,0.2496
245_5_199_3,245,0,13,5,199,11.6,18.9,0.1243
245_5_199_4,245,0,13,5,199,11.8,23.6,0.1972
245_5_199_5,245,0,13,5,199,10.1,17.2,0.0896
245_5_199_6,245,0,13,5,199,11.7,26.9,0.254
252_5_200_1,252,0,13,5,200,10.5,21.5,0.1456
252_5_200_2,252,0,13,5,200,11.3,20.7,0.1453
252_5_200_3,252,0,13,5,200,8.5,11,0.0309
233_5_201_3,233,0,13,5,201,7.8,12.1,0.0343
233_5_201_5,233,0,13,5,201,7.8,13.5,0.0426
233_5_201_6,233,0,13,5,201,9.8,17.9,0.0942
247_5_202_1,247,0,13,5,202,7.9,13,0.0401
247_5_202_2,247,0,13,5,202,9.5,16.1,0.0739
247_5_202_3,247,0,13,5,202,6.7,11.4,0.0261
247_5_202_4,247,0,13,5,202,9,18.1,0.0885
247_5_202_6,247,0,13,5,202,6.4,8.7,0.0145
232_5_203_1,232,0,13,5,203,8.8,16.7,0.0736
232_5_203_2,232,0,13,5,203,10.5,24.7,0.1922
232_5_203_3,232,0,13,5,203,8.8,14.8,0.0578
232_5_203_4,232,0,13,5,203,7.9,15,0.0533
232_5_203_5,232,0,13,5,203,9.2,16.4,0.0742
232_5_203_6,232,0,13,5,203,10.8,19.8,0.127
239_5_204_1,239,0,13,5,204,9.8,18,0.0953
239_5_204_2,239,0,13,5,204,10.1,17.1,0.0886
239_5_204_3,239,0,13,5,204,11,23.5,0.1822
239_5_204_4,239,0,13,5,204,6.9,8.3,0.0143
239_5_204_5,239,0,13,5,204,9.8,16,0.0753
239_5_204_6,239,0,13,5,204,11.8,15.3,0.0829
253_5_205_1,253,0,13,5,205,11,20.5,0.1387
253_5_205_2,253,0,13,5,205,9.8,16.7,0.082
253_5_205_3,253,0,13,5,205,9.6,17.5,0.0882
253_5_205_4,253,0,13,5,205,10.4,17.8,0.0989
253_5_205_5,253,0,13,5,205,11.2,21.4,0.1539
227_5_206_1,227,0,12,5,206,12.1,25.5,0.236
227_5_206_2,227,0,12,5,206,8.1,14.4,0.0504
226_5_207_2,226,0,12,5,207,11.8,26.7,0.2524
226_5_207_3,226,0,12,5,207,10.6,22.4,0.1596
226_5_207_4,226,0,12,5,207,8.7,14,0.0512
226_5_207_5,226,0,12,5,207,9.9,17.7,0.093
226_5_207_6,226,0,12,5,207,11.2,24.9,0.2083
219_5_208_2,219,0,12,5,208,11.3,24.9,0.2102
219_5_208_3,219,0,12,5,208,11.5,22.2,0.17
219_5_208_4,219,0,12,5,208,9.9,18.8,0.105
219_5_208_5,219,0,12,5,208,11,14.8,0.0723
219_5_208_6,219,0,12,5,208,11.7,24.3,0.2073
218_5_209_1,218,0,12,5,209,9.8,16.5,0.08
218_5_209_2,218,0,12,5,209,10.3,19.8,0.1211
218_5_209_3,218,0,12,5,209,11.6,18.1,0.114
218_5_209_4,218,0,12,5,209,11.8,20.2,0.1444
218_5_209_5,218,0,12,5,209,10.8,18.6,0.1121
218_5_209_6,218,0,12,5,209,9.5,13.3,0.0504
217_5_210_1,217,0,12,5,210,10.1,19.3,0.1129
217_5_210_4,217,0,12,5,210,11.7,23.3,0.1906
217_5_210_5,217,0,12,5,210,11,14.6,0.0703
210_5_211_1,210,0,12,5,211,10.2,17.5,0.0937
210_5_211_2,210,0,12,5,211,11.5,23.2,0.1857
210_5_211_4,210,0,12,5,211,10.2,19.1,0.1116
210_5_211_5,210,0,12,5,211,10.5,25.2,0.2
210_5_211_6,210,0,12,5,211,9.4,14.6,0.0601
224_5_212_1,224,0,12,5,212,11,20.9,0.1441
224_5_212_2,224,0,12,5,212,11.9,22.5,0.1807
224_5_212_3,224,0,12,5,212,11.3,23.6,0.1888
224_5_212_4,224,0,12,5,212,9.6,17.5,0.0882
224_5_212_5,224,0,12,5,212,9.3,17.8,0.0884
224_5_212_6,224,0,12,5,212,10,25.7,0.1981
211_5_213_1,211,0,12,5,213,9.4,12.7,0.0455
211_5_213_2,211,0,12,5,213,11.6,25.7,0.2299
211_5_213_3,211,0,12,5,213,10.1,17.4,0.0917
211_5_213_4,211,0,12,5,213,10.2,19,0.1105
211_5_213_5,211,0,12,5,213,10.1,18.5,0.1037
213_5_214_1,213,0,12,5,214,10.3,21,0.1363
213_5_214_2,213,0,12,5,214,11,20,0.132
213_5_214_3,213,0,12,5,214,12.1,23.4,0.1988
213_5_214_4,213,0,12,5,214,10.3,20,0.1236
213_5_214_5,213,0,12,5,214,10.5,15.8,0.0786
212_5_215_1,212,0,12,5,215,11.4,18.9,0.1222
212_5_215_2,212,0,12,5,215,9.5,17.8,0.0903
212_5_215_3,212,0,12,5,215,10.2,17.4,0.0926
212_5_215_4,212,0,12,5,215,8.6,18.4,0.0873
212_5_215_5,212,0,12,5,215,10,17.5,0.0919
225_5_216_1,225,0,12,5,216,9.5,16.2,0.0748
225_5_216_2,225,0,12,5,216,11.2,20.1,0.1357
225_5_216_3,225,0,12,5,216,10,20.2,0.1224
225_5_216_5,225,0,12,5,216,9.7,20.1,0.1176
225_5_216_6,225,0,12,5,216,9.9,18.9,0.1061
216_5_217_1,216,0,12,5,217,11.6,14.7,0.0752
216_5_217_2,216,0,12,5,217,10,17.2,0.0888
216_5_217_3,216,0,12,5,217,10,19.9,0.1188
216_5_217_6,216,0,12,5,217,6.9,10.4,0.0224
204_5_230_1,204,0,11,5,230,11.2,24.7,0.205
204_5_230_2,204,0,11,5,230,6.9,20.7,0.0887
204_5_230_3,204,0,11,5,230,6.5,7.1,0.0098
204_5_230_4,204,0,11,5,230,8.1,15.8,0.0607
204_5_230_5,204,0,11,5,230,9.1,21.5,0.1262
204_5_230_6,204,0,11,5,230,8.4,16.8,0.0711
197_5_231_1,197,0,11,5,231,10.2,16.5,0.0833
197_5_231_5,197,0,11,5,231,8.8,11.9,0.0374
207_5_232_1,207,0,11,5,232,10.1,19.5,0.1152
207_5_232_2,207,0,11,5,232,10.2,18.5,0.1047
207_5_232_3,207,0,11,5,232,8.9,14.6,0.0569
207_5_232_5,207,0,11,5,232,10.1,17.9,0.0971
207_5_232_6,207,0,11,5,232,9.8,19.6,0.1129
201_5_233_1,201,0,11,5,233,9.8,17.3,0.088
201_5_233_2,201,0,11,5,233,12.2,22.1,0.1788
201_5_233_4,201,0,11,5,233,11.1,17.8,0.1055
201_5_233_5,201,0,11,5,233,8.9,17.2,0.079
201_5_233_6,201,0,11,5,233,12.2,19.5,0.1392
196_5_234_1,196,0,11,5,234,8.5,15.9,0.0645
196_5_234_2,196,0,11,5,234,8.5,16.8,0.072
196_5_234_3,196,0,11,5,234,8.8,19.5,0.1004
196_5_234_4,196,0,11,5,234,8.8,13.2,0.046
202_5_235_1,202,0,11,5,235,9.7,16.1,0.0754
202_5_235_3,202,0,11,5,235,5.9,8.1,0.0116
202_5_235_4,202,0,11,5,235,7.1,10,0.0213
202_5_235_5,202,0,11,5,235,10.9,18.2,0.1083
202_5_235_6,202,0,11,5,235,10.5,20.3,0.1298
200_5_236_1,200,0,11,5,236,9.8,20.8,0.1272
200_5_236_3,200,0,11,5,236,7.5,12.5,0.0352
200_5_236_4,200,0,11,5,236,9.5,19.8,0.1117
200_5_236_5,200,0,11,5,236,8.9,13.7,0.0501
206_5_237_1,206,0,11,5,237,11.8,26.1,0.2411
206_5_237_3,206,0,11,5,237,9.5,12.8,0.0467
206_5_237_4,206,0,11,5,237,8.9,15.5,0.0641
206_5_237_5,206,0,11,5,237,8.4,10.4,0.0273
206_5_237_6,206,0,11,5,237,9.9,16.4,0.0799
198_5_238_2,198,0,11,5,238,7.9,14,0.0465
198_5_238_3,198,0,11,5,238,8.8,15.6,0.0642
198_5_238_5,198,0,11,5,238,8.6,11,0.0312
198_5_238_6,198,0,11,5,238,9.6,13.6,0.0533
205_5_239_1,205,0,11,5,239,5.8,6.8,0.008
205_5_239_3,205,0,11,5,239,7.2,10.6,0.0243
205_5_239_6,205,0,11,5,239,8.9,17.5,0.0818
203_5_240_2,203,0,11,5,240,9.3,18,0.0904
203_5_240_3,203,0,11,5,240,7.4,11.2,0.0278
203_5_240_4,203,0,11,5,240,9.9,17.5,0.091
203_5_240_5,203,0,11,5,240,10.3,19.2,0.1139
196_2_79_2,196,0,11,2,79,10.6,19.5,0.1209
218_1_12_2,218,0,12,1,12,11.4,18.5,0.117
202_3_121_2,202,0,11,3,121,5.1,6.2,0.0059
210_1_4_3,210,0,12,1,4,7.1,9.2,0.018
196_1_19_4,196,0,11,1,19,7.2,9.8,0.0207
197_1_24_1,197,0,11,1,24,10.2,13.3,0.0541
197_1_24_4,197,0,11,1,24,11.2,18.7,0.1175
232_1_33_4,232,0,13,1,33,6,7.2,0.0093
233_4_179_1,233,0,13,4,179,14.1,29.9,0.3782
207_5_232_4,207,0,11,5,232,11.1,17.8,0.1055
253_1_30_4,253,0,13,1,30,8,16,0.0614
204_2_75_1,204,0,11,2,75,14.1,25.6,0.2772
204_2_75_4,204,0,11,2,75,11.3,24.7,0.2068
210_4_188_5,210,0,12,4,188,5.8,8,0.0111
197_2_76_2,197,0,11,2,76,12.7,15.4,0.0904
196_4_149_2,196,0,11,4,149,7.2,9,0.0175
191_2_83_2,191,0,10,2,83,12.7,21,0.168
216_2_88_2,216,0,12,2,88,11.9,22.8,0.1856
213_2_95_4,213,0,12,2,95,12.1,19.2,0.1338
219_2_96_2,219,0,12,2,96,8.8,11.6,0.0355
232_3_114_2,232,0,13,3,114,8.5,17.8,0.0808
201_4_147_3,201,0,11,4,147,9.6,20.2,0.1175
238_4_174_3,238,0,13,4,174,10.4,16.7,0.087
238_4_174_4,238,0,13,4,174,9.2,13.9,0.0533
213_5_214_6,213,0,12,5,214,10.9,28.2,0.26
197_5_231_4,197,0,11,5,231,10,17.8,0.0951
247_1_34_6,247,0,13,1,34,5.1,7.4,0.0084
197_3_126_5,197,0,11,3,126,8,10.4,0.026
170_1_3_6,170,0,10,1,3,10.5,16.6,0.0868
210_1_4_2,210,0,12,1,4,11.4,22.3,0.1701
201_1_18_1,201,0,11,1,18,9.5,12.6,0.0452
196_1_19_5,196,0,11,1,19,6.2,8.1,0.0122
200_1_20_4,200,0,11,1,20,13,26.9,0.2822
202_1_21_1,202,0,11,1,21,10.8,16.3,0.0861
197_1_24_5,197,0,11,1,24,11.7,18.1,0.115
198_1_26_1,198,0,11,1,26,11.9,19.9,0.1414
233_1_27_1,233,0,13,1,27,9.9,15.9,0.0751
251_1_29_1,251,0,13,1,29,12.1,23.2,0.1954
251_1_29_3,251,0,13,1,29,9.5,17.1,0.0833
251_1_29_5,251,0,13,1,29,14.6,25.6,0.287
252_1_36_4,252,0,13,1,36,12,22.1,0.1758
232_2_56_1,232,0,13,2,56,12.8,24,0.2212
231_2_58_4,231,0,13,2,58,10.1,19.3,0.1129
198_1_26_3,198,0,11,1,26,6,7.1,0.0091
197_2_76_3,197,0,11,2,76,5.4,7.7,0.0096
